id,text,category,subcategory,safety_score,feasibility_score,utility_score,risk_level,tags
exp_038,老年人空腹不宜洗澡、不宜剧烈运动，防低血糖晕厥,老人养生,安全防护,95,95,93,safe,"['空腹禁忌', '晕厥', '安全']"
exp_039,老年人应保持大便通畅，避免用力排便诱发心脑血管意外,老人养生,安全防护,98,90,96,safe,"['排便', '心脑血管', '安全']"
exp_040,老年人每日摄入蛋类40-50克，每周不超过7个为宜,老人养生,饮食健康,90,92,88,safe,"['蛋类', '胆固醇', '营养']"
exp_041,老年人建议每周吃2次鱼类，优选深海鱼,老人养生,饮食健康,90,88,90,safe,"['鱼类', 'Omega3', '心血管']"
exp_042,老年人少喝浓茶、咖啡，避免影响睡眠与心脏,老人养生,饮食禁忌,85,90,85,safe,"['浓茶', '咖啡', '睡眠']"
exp_043,老年人应保持心态平和，减少情绪剧烈波动,老人养生,心理健康,90,90,89,safe,"['情绪管理', '心态', '血压']"
exp_044,老年人足部应每日清洁检查，预防糖尿病足,老人养生,足部护理,95,92,94,safe,"['足部护理', '糖尿病足', '预防']"
exp_045,老年人变换体位动作要慢，防头晕跌倒,老人养生,安全防护,95,98,95,safe,"['体位变换', '防跌倒', '安全']"
exp_046,老年人应勤开窗通风，保持室内空气流通,老人养生,居家环境,90,95,88,safe,"['通风', '空气质量', '呼吸道']"
exp_047,老年人雾霾天减少外出，外出佩戴口罩,老人养生,呼吸道健康,95,92,92,safe,"['雾霾', '呼吸道', '防护']"
exp_048,老年人应接种流感疫苗、肺炎疫苗，降低感染风险,老人养生,疾病预防,95,90,96,safe,"['疫苗', '流感', '肺炎']"
exp_049,老年人不提倡清晨剧烈运动，最佳时段上午9-10点,老人养生,运动养生,90,92,91,safe,"['运动时间', '清晨', '安全']"
exp_050,老年人饮食宜温热，少吃生冷寒凉食物,老人养生,饮食健康,85,95,87,safe,"['温热饮食', '肠胃', '脾胃']"
exp_051,老年人常做腹式呼吸，改善心肺功能与情绪,老人养生,养生功法,90,95,88,safe,"['腹式呼吸', '心肺', '放松']"
exp_052,老年人控制体重，BMI保持在20-26.9为宜,老人养生,体重管理,90,88,90,safe,"['BMI', '体重', '慢病预防']"
exp_053,老年人出现胸闷、胸痛、言语不清应立即就医,老人养生,急救知识,100,98,99,safe,"['急救', '心梗', '中风']"
exp_054,老年人应多摄入富含钾的食物，帮助调节血压,老人养生,饮食健康,90,88,89,safe,"['补钾', '血压', '蔬菜']"
exp_055,老年人避免久坐，每小时起身活动3-5分钟,老人养生,日常习惯,90,95,90,safe,"['避免久坐', '活动', '血液循环']"
exp_056,老年人睡前用温水泡脚，有助睡眠与血液循环,老人养生,睡眠养生,85,95,87,safe,"['泡脚', '助眠', '循环']"
exp_057,老年人不滥用抗生素，避免肠道菌群紊乱,老人养生,用药安全,95,95,93,caution,"['抗生素', '肠道菌群', '慎用']"
exp_058,老年人多参与家庭与社会活动，提升幸福感,老人养生,心理健康,90,92,89,safe,"['家庭陪伴', '心理健康', '幸福感']"
exp_059,老年人注意手部卫生，降低呼吸道与消化道感染,老人养生,卫生习惯,95,95,92,safe,"['洗手', '卫生', '防感染']"
exp_060,规律作息、均衡饮食、适度运动是老人健康三大基石,老人养生,综合养生,95,98,95,safe,"['健康基石', '规律', '养生']"
exp_061,老年人建议接种流感疫苗和肺炎球菌疫苗以降低重症风险，尤其是慢病人群；具体接种时机与禁忌需咨询接种门诊,老人养生,日常养生,94,83,97,safe,"['疫苗', '流感', '肺炎球菌', '预防']"
exp_062,改善睡眠优先从睡眠卫生入手：规律作息、下午避免浓茶咖啡、睡前减少屏幕刺激；长期依赖安眠药可能带来跌倒和认知风险，需在医生指导下调整,老人养生,睡眠养生,97,87,87,safe,"['睡眠卫生', '失眠', '用药风险', '规律作息']"
exp_063,改善睡眠优先从睡眠卫生入手：规律作息、下午避免浓茶咖啡、睡前减少屏幕刺激；长期依赖安眠药可能带来跌倒和认知风险，需在医生指导下调整,老人养生,睡眠养生,97,79,93,safe,"['睡眠卫生', '失眠', '用药风险', '规律作息']"
exp_064,老年人建议接种流感疫苗和肺炎球菌疫苗以降低重症风险，尤其是慢病人群；具体接种时机与禁忌需咨询接种门诊,老人养生,日常养生,93,73,94,safe,"['疫苗', '流感', '肺炎球菌', '预防']"
exp_065,糖尿病管理要结合饮食、运动和监测，主食可用全谷物/杂豆替代一部分精米面；出现低血糖症状（出汗、心慌、手抖）需及时补糖并评估原因,老人养生,慢病管理,98,82,99,safe,"['血糖', '低血糖', '全谷物', '监测']"
exp_066,糖尿病管理要结合饮食、运动和监测，主食可用全谷物/杂豆替代一部分精米面；出现低血糖症状（出汗、心慌、手抖）需及时补糖并评估原因,老人养生,慢病管理,99,90,95,safe,"['血糖', '低血糖', '全谷物', '监测']"
exp_067,老年抑郁和焦虑并不少见，持续两周以上的情绪低落、兴趣下降或睡眠食欲改变应寻求专业评估；保持社交和适度运动可改善情绪,老人养生,心理健康,91,78,95,safe,"['心理健康', '抑郁', '社交', '运动']"
exp_068,预防跌倒要同时做环境改造（防滑垫、夜灯、卫生间扶手）和能力训练（下肢力量、平衡训练）；起夜时先坐起再站立，减少体位性低血压,老人养生,居家安全,100,93,95,safe,"['防跌倒', '扶手', '平衡训练', '夜灯']"
exp_069,老年人常见多病共存，建议用药清单随身携带并定期做药物复核，避免自行叠加止痛药、感冒药等重复成分；出现不良反应及时就医,老人养生,用药安全,100,79,95,safe,"['多重用药', '药物复核', '不良反应', '安全']"
exp_070,糖尿病管理要结合饮食、运动和监测，主食可用全谷物/杂豆替代一部分精米面；出现低血糖症状（出汗、心慌、手抖）需及时补糖并评估原因,老人养生,慢病管理,97,85,89,safe,"['血糖', '低血糖', '全谷物', '监测']"
exp_071,糖尿病管理要结合饮食、运动和监测，主食可用全谷物/杂豆替代一部分精米面；出现低血糖症状（出汗、心慌、手抖）需及时补糖并评估原因,老人养生,慢病管理,95,86,96,safe,"['血糖', '低血糖', '全谷物', '监测']"
exp_072,老年人建议接种流感疫苗和肺炎球菌疫苗以降低重症风险，尤其是慢病人群；具体接种时机与禁忌需咨询接种门诊,老人养生,日常养生,100,80,87,safe,"['疫苗', '流感', '肺炎球菌', '预防']"
exp_073,老年人每周累计≥150分钟中等强度有氧运动（快走、骑车等）并配合2-3次力量训练，可延缓肌少症并改善心肺功能；运动强度以能说话但略喘为宜,老人养生,运动养生,96,79,99,safe,"['有氧', '力量训练', '肌少症', '心肺']"
exp_074,老年人建议接种流感疫苗和肺炎球菌疫苗以降低重症风险，尤其是慢病人群；具体接种时机与禁忌需咨询接种门诊,老人养生,日常养生,94,72,87,safe,"['疫苗', '流感', '肺炎球菌', '预防']"
exp_075,老年人控盐有助于降低血压风险，建议少吃咸菜、腌制品和高钠加工食品，做菜少放酱油/味精并学会看营养成分表中的钠含量,老人养生,饮食健康,97,92,89,safe,"['低盐', '高血压', '控钠', '饮食']"
exp_076,老年人常见多病共存，建议用药清单随身携带并定期做药物复核，避免自行叠加止痛药、感冒药等重复成分；出现不良反应及时就医,老人养生,用药安全,95,85,92,safe,"['多重用药', '药物复核', '不良反应', '安全']"
exp_077,老年人每周累计≥150分钟中等强度有氧运动（快走、骑车等）并配合2-3次力量训练，可延缓肌少症并改善心肺功能；运动强度以能说话但略喘为宜,老人养生,运动养生,97,81,98,safe,"['有氧', '力量训练', '肌少症', '心肺']"
exp_078,糖尿病管理要结合饮食、运动和监测，主食可用全谷物/杂豆替代一部分精米面；出现低血糖症状（出汗、心慌、手抖）需及时补糖并评估原因,老人养生,慢病管理,95,79,97,safe,"['血糖', '低血糖', '全谷物', '监测']"
exp_079,老年人应保证优质蛋白（鱼蛋奶豆瘦肉）与足量蔬果摄入，钙和维生素D有助于骨骼健康；骨头汤钙含量有限，是否补充钙剂应结合饮食与医生建议,老人养生,营养补充,96,84,96,safe,"['蛋白质', '补钙', '维生素D', '骨健康']"
exp_080,老年人常见多病共存，建议用药清单随身携带并定期做药物复核，避免自行叠加止痛药、感冒药等重复成分；出现不良反应及时就医,老人养生,用药安全,100,77,90,safe,"['多重用药', '药物复核', '不良反应', '安全']"
exp_081,高血压患者建议固定时间测血压并记录，家庭自测可帮助医生调整方案；擅自停药或频繁换药会增加脑卒中风险，应遵医嘱,老人养生,慢病管理,94,79,95,safe,"['血压监测', '用药依从', '卒中预防', '遵医嘱']"
exp_082,改善睡眠优先从睡眠卫生入手：规律作息、下午避免浓茶咖啡、睡前减少屏幕刺激；长期依赖安眠药可能带来跌倒和认知风险，需在医生指导下调整,老人养生,睡眠养生,97,88,94,safe,"['睡眠卫生', '失眠', '用药风险', '规律作息']"
exp_083,老年抑郁和焦虑并不少见，持续两周以上的情绪低落、兴趣下降或睡眠食欲改变应寻求专业评估；保持社交和适度运动可改善情绪,老人养生,心理健康,90,80,86,safe,"['心理健康', '抑郁', '社交', '运动']"
exp_084,老年人每周累计≥150分钟中等强度有氧运动（快走、骑车等）并配合2-3次力量训练，可延缓肌少症并改善心肺功能；运动强度以能说话但略喘为宜,老人养生,运动养生,92,86,98,safe,"['有氧', '力量训练', '肌少症', '心肺']"
exp_085,老年人每周累计≥150分钟中等强度有氧运动（快走、骑车等）并配合2-3次力量训练，可延缓肌少症并改善心肺功能；运动强度以能说话但略喘为宜,老人养生,运动养生,90,81,97,safe,"['有氧', '力量训练', '肌少症', '心肺']"
exp_086,预防跌倒要同时做环境改造（防滑垫、夜灯、卫生间扶手）和能力训练（下肢力量、平衡训练）；起夜时先坐起再站立，减少体位性低血压,老人养生,居家安全,100,91,96,safe,"['防跌倒', '扶手', '平衡训练', '夜灯']"
exp_087,老年人控盐有助于降低血压风险，建议少吃咸菜、腌制品和高钠加工食品，做菜少放酱油/味精并学会看营养成分表中的钠含量,老人养生,饮食健康,98,91,90,safe,"['低盐', '高血压', '控钠', '饮食']"
exp_088,老年抑郁和焦虑并不少见，持续两周以上的情绪低落、兴趣下降或睡眠食欲改变应寻求专业评估；保持社交和适度运动可改善情绪,老人养生,心理健康,90,79,89,safe,"['心理健康', '抑郁', '社交', '运动']"
exp_089,老年人常见多病共存，建议用药清单随身携带并定期做药物复核，避免自行叠加止痛药、感冒药等重复成分；出现不良反应及时就医,老人养生,用药安全,100,79,94,safe,"['多重用药', '药物复核', '不良反应', '安全']"
exp_090,糖尿病管理要结合饮食、运动和监测，主食可用全谷物/杂豆替代一部分精米面；出现低血糖症状（出汗、心慌、手抖）需及时补糖并评估原因,老人养生,慢病管理,94,80,91,safe,"['血糖', '低血糖', '全谷物', '监测']"
exp_091,老年人建议接种流感疫苗和肺炎球菌疫苗以降低重症风险，尤其是慢病人群；具体接种时机与禁忌需咨询接种门诊,老人养生,日常养生,95,73,92,safe,"['疫苗', '流感', '肺炎球菌', '预防']"
exp_092,老年人控盐有助于降低血压风险，建议少吃咸菜、腌制品和高钠加工食品，做菜少放酱油/味精并学会看营养成分表中的钠含量,老人养生,饮食健康,92,88,93,safe,"['低盐', '高血压', '控钠', '饮食']"
exp_093,老年人应保证优质蛋白（鱼蛋奶豆瘦肉）与足量蔬果摄入，钙和维生素D有助于骨骼健康；骨头汤钙含量有限，是否补充钙剂应结合饮食与医生建议,老人养生,营养补充,92,87,92,safe,"['蛋白质', '补钙', '维生素D', '骨健康']"
exp_094,改善睡眠优先从睡眠卫生入手：规律作息、下午避免浓茶咖啡、睡前减少屏幕刺激；长期依赖安眠药可能带来跌倒和认知风险，需在医生指导下调整,老人养生,睡眠养生,96,85,90,safe,"['睡眠卫生', '失眠', '用药风险', '规律作息']"
exp_095,预防跌倒要同时做环境改造（防滑垫、夜灯、卫生间扶手）和能力训练（下肢力量、平衡训练）；起夜时先坐起再站立，减少体位性低血压,老人养生,居家安全,98,95,97,safe,"['防跌倒', '扶手', '平衡训练', '夜灯']"
exp_096,老年抑郁和焦虑并不少见，持续两周以上的情绪低落、兴趣下降或睡眠食欲改变应寻求专业评估；保持社交和适度运动可改善情绪,老人养生,心理健康,94,89,95,safe,"['心理健康', '抑郁', '社交', '运动']"
exp_097,老年人常见多病共存，建议用药清单随身携带并定期做药物复核，避免自行叠加止痛药、感冒药等重复成分；出现不良反应及时就医,老人养生,用药安全,94,78,89,safe,"['多重用药', '药物复核', '不良反应', '安全']"
exp_098,高血压患者建议固定时间测血压并记录，家庭自测可帮助医生调整方案；擅自停药或频繁换药会增加脑卒中风险，应遵医嘱,老人养生,慢病管理,96,80,100,safe,"['血压监测', '用药依从', '卒中预防', '遵医嘱']"
exp_099,糖尿病管理要结合饮食、运动和监测，主食可用全谷物/杂豆替代一部分精米面；出现低血糖症状（出汗、心慌、手抖）需及时补糖并评估原因,老人养生,慢病管理,99,86,89,safe,"['血糖', '低血糖', '全谷物', '监测']"
exp_100,老年人应保证优质蛋白（鱼蛋奶豆瘦肉）与足量蔬果摄入，钙和维生素D有助于骨骼健康；骨头汤钙含量有限，是否补充钙剂应结合饮食与医生建议,老人养生,营养补充,91,90,96,safe,"['蛋白质', '补钙', '维生素D', '骨健康']"
exp_101,糖尿病管理要结合饮食、运动和监测，主食可用全谷物/杂豆替代一部分精米面；出现低血糖症状（出汗、心慌、手抖）需及时补糖并评估原因,老人养生,慢病管理,98,83,98,safe,"['血糖', '低血糖', '全谷物', '监测']"
exp_102,改善睡眠优先从睡眠卫生入手：规律作息、下午避免浓茶咖啡、睡前减少屏幕刺激；长期依赖安眠药可能带来跌倒和认知风险，需在医生指导下调整,老人养生,睡眠养生,96,86,88,safe,"['睡眠卫生', '失眠', '用药风险', '规律作息']"
exp_103,老年人建议接种流感疫苗和肺炎球菌疫苗以降低重症风险，尤其是慢病人群；具体接种时机与禁忌需咨询接种门诊,老人养生,日常养生,94,75,89,safe,"['疫苗', '流感', '肺炎球菌', '预防']"
exp_104,改善睡眠优先从睡眠卫生入手：规律作息、下午避免浓茶咖啡、睡前减少屏幕刺激；长期依赖安眠药可能带来跌倒和认知风险，需在医生指导下调整,老人养生,睡眠养生,98,78,91,safe,"['睡眠卫生', '失眠', '用药风险', '规律作息']"
exp_105,老年抑郁和焦虑并不少见，持续两周以上的情绪低落、兴趣下降或睡眠食欲改变应寻求专业评估；保持社交和适度运动可改善情绪,老人养生,心理健康,92,85,94,safe,"['心理健康', '抑郁', '社交', '运动']"
exp_106,老年人每周累计≥150分钟中等强度有氧运动（快走、骑车等）并配合2-3次力量训练，可延缓肌少症并改善心肺功能；运动强度以能说话但略喘为宜,老人养生,运动养生,94,78,98,safe,"['有氧', '力量训练', '肌少症', '心肺']"
exp_107,高血压患者建议固定时间测血压并记录，家庭自测可帮助医生调整方案；擅自停药或频繁换药会增加脑卒中风险，应遵医嘱,老人养生,慢病管理,98,84,100,safe,"['血压监测', '用药依从', '卒中预防', '遵医嘱']"
exp_108,老年人常见多病共存，建议用药清单随身携带并定期做药物复核，避免自行叠加止痛药、感冒药等重复成分；出现不良反应及时就医,老人养生,用药安全,98,88,96,safe,"['多重用药', '药物复核', '不良反应', '安全']"
exp_109,老年人建议接种流感疫苗和肺炎球菌疫苗以降低重症风险，尤其是慢病人群；具体接种时机与禁忌需咨询接种门诊,老人养生,日常养生,98,83,97,safe,"['疫苗', '流感', '肺炎球菌', '预防']"
exp_110,老年人每周累计≥150分钟中等强度有氧运动（快走、骑车等）并配合2-3次力量训练，可延缓肌少症并改善心肺功能；运动强度以能说话但略喘为宜,老人养生,运动养生,96,86,97,safe,"['有氧', '力量训练', '肌少症', '心肺']"
exp_111,老年人控盐有助于降低血压风险，建议少吃咸菜、腌制品和高钠加工食品，做菜少放酱油/味精并学会看营养成分表中的钠含量,老人养生,饮食健康,95,91,96,safe,"['低盐', '高血压', '控钠', '饮食']"
exp_112,老年抑郁和焦虑并不少见，持续两周以上的情绪低落、兴趣下降或睡眠食欲改变应寻求专业评估；保持社交和适度运动可改善情绪,老人养生,心理健康,93,76,87,safe,"['心理健康', '抑郁', '社交', '运动']"
exp_113,老年人应保证优质蛋白（鱼蛋奶豆瘦肉）与足量蔬果摄入，钙和维生素D有助于骨骼健康；骨头汤钙含量有限，是否补充钙剂应结合饮食与医生建议,老人养生,营养补充,97,86,91,safe,"['蛋白质', '补钙', '维生素D', '骨健康']"
exp_114,改善睡眠优先从睡眠卫生入手：规律作息、下午避免浓茶咖啡、睡前减少屏幕刺激；长期依赖安眠药可能带来跌倒和认知风险，需在医生指导下调整,老人养生,睡眠养生,93,88,93,safe,"['睡眠卫生', '失眠', '用药风险', '规律作息']"
exp_115,老年抑郁和焦虑并不少见，持续两周以上的情绪低落、兴趣下降或睡眠食欲改变应寻求专业评估；保持社交和适度运动可改善情绪,老人养生,心理健康,93,79,87,safe,"['心理健康', '抑郁', '社交', '运动']"
exp_116,预防跌倒要同时做环境改造（防滑垫、夜灯、卫生间扶手）和能力训练（下肢力量、平衡训练）；起夜时先坐起再站立，减少体位性低血压,老人养生,居家安全,100,94,93,safe,"['防跌倒', '扶手', '平衡训练', '夜灯']"
exp_117,糖尿病管理要结合饮食、运动和监测，主食可用全谷物/杂豆替代一部分精米面；出现低血糖症状（出汗、心慌、手抖）需及时补糖并评估原因,老人养生,慢病管理,94,78,96,safe,"['血糖', '低血糖', '全谷物', '监测']"
exp_118,老年人控盐有助于降低血压风险，建议少吃咸菜、腌制品和高钠加工食品，做菜少放酱油/味精并学会看营养成分表中的钠含量,老人养生,饮食健康,98,93,96,safe,"['低盐', '高血压', '控钠', '饮食']"
exp_119,老年人应保证优质蛋白（鱼蛋奶豆瘦肉）与足量蔬果摄入，钙和维生素D有助于骨骼健康；骨头汤钙含量有限，是否补充钙剂应结合饮食与医生建议,老人养生,营养补充,91,83,93,safe,"['蛋白质', '补钙', '维生素D', '骨健康']"
exp_120,预防跌倒要同时做环境改造（防滑垫、夜灯、卫生间扶手）和能力训练（下肢力量、平衡训练）；起夜时先坐起再站立，减少体位性低血压,老人养生,居家安全,100,90,92,safe,"['防跌倒', '扶手', '平衡训练', '夜灯']"
exp_121,高血压患者建议固定时间测血压并记录，家庭自测可帮助医生调整方案；擅自停药或频繁换药会增加脑卒中风险，应遵医嘱,老人养生,慢病管理,95,82,94,safe,"['血压监测', '用药依从', '卒中预防', '遵医嘱']"
exp_122,高血压患者建议固定时间测血压并记录，家庭自测可帮助医生调整方案；擅自停药或频繁换药会增加脑卒中风险，应遵医嘱,老人养生,慢病管理,96,87,93,safe,"['血压监测', '用药依从', '卒中预防', '遵医嘱']"
exp_123,老年人建议接种流感疫苗和肺炎球菌疫苗以降低重症风险，尤其是慢病人群；具体接种时机与禁忌需咨询接种门诊,老人养生,日常养生,97,73,94,safe,"['疫苗', '流感', '肺炎球菌', '预防']"
exp_124,改善睡眠优先从睡眠卫生入手：规律作息、下午避免浓茶咖啡、睡前减少屏幕刺激；长期依赖安眠药可能带来跌倒和认知风险，需在医生指导下调整,老人养生,睡眠养生,97,83,94,safe,"['睡眠卫生', '失眠', '用药风险', '规律作息']"
exp_125,预防跌倒要同时做环境改造（防滑垫、夜灯、卫生间扶手）和能力训练（下肢力量、平衡训练）；起夜时先坐起再站立，减少体位性低血压,老人养生,居家安全,98,86,98,safe,"['防跌倒', '扶手', '平衡训练', '夜灯']"
exp_126,老年人常见多病共存，建议用药清单随身携带并定期做药物复核，避免自行叠加止痛药、感冒药等重复成分；出现不良反应及时就医,老人养生,用药安全,94,87,99,safe,"['多重用药', '药物复核', '不良反应', '安全']"
exp_127,预防跌倒要同时做环境改造（防滑垫、夜灯、卫生间扶手）和能力训练（下肢力量、平衡训练）；起夜时先坐起再站立，减少体位性低血压,老人养生,居家安全,96,83,99,safe,"['防跌倒', '扶手', '平衡训练', '夜灯']"
exp_128,老年抑郁和焦虑并不少见，持续两周以上的情绪低落、兴趣下降或睡眠食欲改变应寻求专业评估；保持社交和适度运动可改善情绪,老人养生,心理健康,91,76,94,safe,"['心理健康', '抑郁', '社交', '运动']"
exp_129,老年抑郁和焦虑并不少见，持续两周以上的情绪低落、兴趣下降或睡眠食欲改变应寻求专业评估；保持社交和适度运动可改善情绪,老人养生,心理健康,95,82,88,safe,"['心理健康', '抑郁', '社交', '运动']"
exp_130,预防跌倒要同时做环境改造（防滑垫、夜灯、卫生间扶手）和能力训练（下肢力量、平衡训练）；起夜时先坐起再站立，减少体位性低血压,老人养生,居家安全,99,84,96,safe,"['防跌倒', '扶手', '平衡训练', '夜灯']"
exp_131,老年人常见多病共存，建议用药清单随身携带并定期做药物复核，避免自行叠加止痛药、感冒药等重复成分；出现不良反应及时就医,老人养生,用药安全,94,87,93,safe,"['多重用药', '药物复核', '不良反应', '安全']"
exp_132,老年人应保证优质蛋白（鱼蛋奶豆瘦肉）与足量蔬果摄入，钙和维生素D有助于骨骼健康；骨头汤钙含量有限，是否补充钙剂应结合饮食与医生建议,老人养生,营养补充,98,89,94,safe,"['蛋白质', '补钙', '维生素D', '骨健康']"
exp_133,预防跌倒要同时做环境改造（防滑垫、夜灯、卫生间扶手）和能力训练（下肢力量、平衡训练）；起夜时先坐起再站立，减少体位性低血压,老人养生,居家安全,99,86,98,safe,"['防跌倒', '扶手', '平衡训练', '夜灯']"
exp_134,老年人每周累计≥150分钟中等强度有氧运动（快走、骑车等）并配合2-3次力量训练，可延缓肌少症并改善心肺功能；运动强度以能说话但略喘为宜,老人养生,运动养生,90,81,98,safe,"['有氧', '力量训练', '肌少症', '心肺']"
exp_135,老年人应保证优质蛋白（鱼蛋奶豆瘦肉）与足量蔬果摄入，钙和维生素D有助于骨骼健康；骨头汤钙含量有限，是否补充钙剂应结合饮食与医生建议,老人养生,营养补充,94,91,98,safe,"['蛋白质', '补钙', '维生素D', '骨健康']"
exp_136,老年人每周累计≥150分钟中等强度有氧运动（快走、骑车等）并配合2-3次力量训练，可延缓肌少症并改善心肺功能；运动强度以能说话但略喘为宜,老人养生,运动养生,95,82,90,safe,"['有氧', '力量训练', '肌少症', '心肺']"
exp_137,老年人每周累计≥150分钟中等强度有氧运动（快走、骑车等）并配合2-3次力量训练，可延缓肌少症并改善心肺功能；运动强度以能说话但略喘为宜,老人养生,运动养生,97,85,89,safe,"['有氧', '力量训练', '肌少症', '心肺']"
exp_138,老年人建议接种流感疫苗和肺炎球菌疫苗以降低重症风险，尤其是慢病人群；具体接种时机与禁忌需咨询接种门诊,老人养生,日常养生,95,73,88,safe,"['疫苗', '流感', '肺炎球菌', '预防']"
